ACCNUM,YEAR,DATE,TIME,STREET1,STREET2,ROAD_CLASS,DISTRICT,WARDNUM,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY
1001250454,2021,2021/07/04 04:00:00+00,138,KINGSTON RD,SHEPPARD AVE E,Major Arterial,Scarborough,25,43.79885,-79.14619,Intersection,At Intersection,Traffic Signal,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001250737,2021,2021/07/04 04:00:00+00,325,SHEPPARD AVE W,WILLIAM R ALLEN RD,Major Arterial,North York,13,43.750273,-79.465404,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,32,Non-Fatal
1001297899,2021,2021/07/10 04:00:00+00,2147,WINTERTON DR,LLOYD MANOR RD,Collector,Etobicoke York,14,43.671847,-79.555003,Intersection,At Intersection,Stop Sign,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001364901,2021,2021/07/20 04:00:00+00,1611,CARLINGVIEW DR,CONSTELLATION CRT,Major Arterial,Etobicoke York,15,43.690688,-79.597316,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Driver,68,Non-Fatal
1001364901,2021,2021/07/20 04:00:00+00,1611,CARLINGVIEW DR,CONSTELLATION CRT,Major Arterial,Etobicoke York,16,43.690688,-79.597316,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Passenger,65,Non-Fatal
1001373443,2021,2021/07/21 04:00:00+00,1937,27 S 427 C S RAMP,HIGHWAY 401 X  E,Expressway Ramp,Etobicoke York,17,43.677428,-79.577968,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Fatal,Rear End,Passenger,35,Non-Fatal
1001388501,2021,2021/07/23 04:00:00+00,2110,2472 KINGSTON RD,Non-Fatal,Major Arterial,Scarborough,18,43.709796,-79.249019,Mid-Block,Non Intersection,Stop Sign,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001428194,2021,2021/07/29 04:00:00+00,1522,751 KIPLING AVE,Non-Fatal,Major Arterial,Etobicoke York,19,43.627307,-79.529269,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,72,Non-Fatal
1001479611,2021,2021/08/05 04:00:00+00,2302,DUFFERIN ST,RANEE AVE,Major Arterial,North York,20,43.721545,-79.456371,Intersection,At Intersection,Traffic Signal,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
1001538488,2021,2021/08/14 04:00:00+00,243,BLOOR ST W,EAGLE RD,Major Arterial,Etobicoke York,21,43.645354,-79.520053,Mid-Block,Non Intersection,No Control,Clear,Dark,Slush,Non-Fatal,Turning Movement,Passenger,72,Non-Fatal
